name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,lat,long
abelisaurus,carnivorous,Late Cretaceous,Argentina,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,-27.88998284943061,-64.8464172701122
achelousaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,43.7327862135927,-91.29032576261446
achillobator,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,49.08649600682492,98.69640572554516
acrocanthosaurus,carnivorous,Early Cretaceous,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,38.52770197894651,-115.51396668160244
agilisaurus,herbivorous,Late Jurassic,China,euornithopod,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,33.56397741038529,99.74825986310896
albertaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0m,Dinosauria Ornithischia,Ryan 2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,46.08118528234141,-117.63373925142815
albertosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,56.45910373485654,-113.1653852658264
alectrosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,49.08649600682492,98.69640572554516
alioramus,carnivorous,Late Cretaceous,Mongolia,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,49.08649600682492,98.69640572554516
allosaurus,carnivorous,Late Jurassic,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,43.7327862135927,-91.29032576261446
alvarezsaurus,carnivorous,Late Cretaceous,Argentina,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,-27.88998284943061,-64.8464172701122
anchiceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,57.01048122766619,-96.72366948227602
ankylosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,46.08118528234141,-117.63373925142815
anserimimus,carnivorous,Late Cretaceous,Mongolia,large theropod,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,49.08649600682492,98.69640572554516
aralosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,50.90482567589214,65.72597090767513
archaeoceratops,herbivorous,Early Cretaceous,China,ceratopsian,1.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,39.07922300011976,111.43621012808882
archaeopteryx,carnivorous,Late Jurassic,Germany,small theropod,0.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,Mayer (1861),lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,51.605660718254256,7.434481156019075
arrhinoceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,63.00768024686079,-130.59324600039025
atlascopcosaurus,herbivorous,Early Cretaceous,Australia,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,-25.0,134.0
aucasaurus,carnivorous,Late Cretaceous,Argentina,large theropod,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,-27.88998284943061,-64.8464172701122
avaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,38.52770197894651,-115.51396668160244
avimimus,omnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,49.08649600682492,98.69640572554516
bactrosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,42.04532706118388,83.91296904405971
bagaceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,49.08649600682492,98.69640572554516
bambiraptor,carnivorous,Late Cretaceous,USA,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,36.6111957036912,-101.52376612503838
beipiaosaurus,omnivorous,Early Cretaceous,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,33.56397741038529,99.74825986310896
borogovia,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,49.08649600682492,98.69640572554516
brachylophosaurus,herbivorous,Late Cretaceous,USA,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,38.52770197894651,-115.51396668160244
